,Description,Timing,Open Book Exam,Component Scale,Must Pass Component,% of Final Grade,Assessment Type,Module Code,Scaled % of Final Grade,Work Type,Level,Credits,School,Module Coordinator,Semester,Enrolled Students 22/23,Stage,Student Credits,Assessment Credits
977,Examination: 1 hour MCQ exam,1 hour End of Trimester Exam,No,Standard conversion grade scale 40%,Yes,60,Examination,DSCY10070,60,In person,1,5.0,Mechanical & Materials Eng,Dr Mert Celikin,Spring,25,,75.0,3.0
978,Fieldwork: Fieldwork Report,Week 5,,Standard conversion grade scale 40%,No,10,Fieldwork,DSCY10070,10,In person,1,5.0,Mechanical & Materials Eng,Dr Mert Celikin,Spring,25,,12.5,0.5
979,Group Project: Group Project (Brightspace discussions) with Online Poster Presentation,Coursework (End of Trimester),,Standard conversion grade scale 40%,No,30,Group Project,DSCY10070,30,Blended,1,5.0,Mechanical & Materials Eng,Dr Mert Celikin,Spring,25,,37.5,1.5
980,"Lab Report: Based on two laboratory experiments that all students are expected to complete, while working in pairs, and collaborating with other pairs. Each lab is weighted equally.",Varies over the Trimester,,Alternative linear conversion grade scale 40%,No,20,Lab Report,MEEN10030,20,Blended,1,5.0,Mechanical & Materials Eng,Professor Michael Gilchrist,Spring,298,,298.0,1.0
981,Examination: An end of trimester online MCQ examination will assess each student's overall understanding of the module. Resit students will be assessed wholly on the basis of this written examination.,2 hour End of Trimester Exam,No,Alternative linear conversion grade scale 40%,No,60,Examination,MEEN10030,60,In person,1,5.0,Mechanical & Materials Eng,Professor Michael Gilchrist,Spring,298,,894.0,3.0
982,Group Project: Groups of students (approximately 5 per group) will be required to collaborate on an assignment that is intended to allow students to demonstrate their understanding of key concepts of this module.,Varies over the Trimester,,Alternative linear conversion grade scale 40%,No,20,Group Project,MEEN10030,20,Blended,1,5.0,Mechanical & Materials Eng,Professor Michael Gilchrist,Spring,298,,298.0,1.0
983,"Class Test: In-class MCQ tests will be set randomly throughout the trimester, without announcement, to provide students with formative feedback on their understanding of course material.",Throughout the Trimester,,Graded,No,0,Class Test,MEEN10030,0,In person,1,5.0,Mechanical & Materials Eng,Professor Michael Gilchrist,Spring,298,,0.0,0.0
984,"Examination: In-person, 2-hour, end of trimester exam",2 hour End of Trimester Exam,No,Other,No,50,Examination,MEEN10050,50,In person,1,5.0,Mechanical & Materials Eng,Dr William Smith,Spring,302,,755.0,2.5
985,Class Test: Online BrightSpace Quiz (50 minutes),Week 7,,Other,No,20,Class Test,MEEN10050,20,In person,1,5.0,Mechanical & Materials Eng,Dr William Smith,Spring,302,,302.0,1.0
986,Class Test: Online Brightspace Quiz,Week 3,,Other,No,10,Class Test,MEEN10050,10,In person,1,5.0,Mechanical & Materials Eng,Dr William Smith,Spring,302,,151.0,0.5
987,"Lab Report: Two Reports to be submitted by each student, following participation in a scheduled laboratory practical session.",Varies over the Trimester,,Graded,No,20,Lab Report,MEEN10050,20,Blended,1,5.0,Mechanical & Materials Eng,Dr William Smith,Spring,302,,302.0,1.0
988,Lab Report: Laboratory Reports,Throughout the Trimester,,Graded,No,15,Lab Report,MEEN20010,15,Blended,2,5.0,Mechanical & Materials Eng,Dr Kevin Nolan,Autumn,164,,123.0,0.75
989,Class Test: Class test,Week 6,,Standard conversion grade scale 40%,No,15,Class Test,MEEN20010,15,In person,2,5.0,Mechanical & Materials Eng,Dr Kevin Nolan,Autumn,164,,123.0,0.75
990,Examination: Final Examination,2 hour End of Trimester Exam,No,Standard conversion grade scale 40%,No,70,Examination,MEEN20010,70,In person,2,5.0,Mechanical & Materials Eng,Dr Kevin Nolan,Autumn,164,,574.0,3.5
991,Continuous Assessment: Laboratory sessions and online quizzes,Varies over the Trimester,,Alternative linear conversion grade scale 40%,No,20,Continuous Assessment,MEEN20020,20,At home,2,5.0,Mechanical & Materials Eng,Professor Michael Gilchrist,Autumn,149,,149.0,1.0
992,Continuous Assessment: Online discussion forums,Varies over the Trimester,,Alternative linear conversion grade scale 40%,No,20,Continuous Assessment,MEEN20020,20,At home,2,5.0,Mechanical & Materials Eng,Professor Michael Gilchrist,Autumn,149,,149.0,1.0
993,Examination: End of trimester test,2 hour End of Trimester Exam,No,Alternative linear conversion grade scale 40%,No,60,Examination,MEEN20020,60,In person,2,5.0,Mechanical & Materials Eng,Professor Michael Gilchrist,Autumn,149,,447.0,3.0
994,Examination: Class Tests,Throughout the Trimester,Yes,Alternative linear conversion grade scale 40%,No,35,Examination,MEEN20030,35,In person,2,5.0,Mechanical & Materials Eng,Assoc Professor Vikram Pakrashi,Spring,165,,288.75,1.75
995,Examination: Time bound examination,2 hour End of Trimester Exam,Yes,Alternative linear conversion grade scale 40%,Yes,65,Examination,MEEN20030,65,In person,2,5.0,Mechanical & Materials Eng,Assoc Professor Vikram Pakrashi,Spring,165,,536.25,3.25
996,Class Test: Class Test 3,Varies over the Trimester,,Graded,No,1,Class Test,MEEN20040,1,In person,2,5.0,Mechanical & Materials Eng,Dr Neal Murphy,Spring,175,,8.75,0.05
997,Lab Report: Lab Report 1,Varies over the Trimester,,Graded,No,4,Lab Report,MEEN20040,4,Blended,2,5.0,Mechanical & Materials Eng,Dr Neal Murphy,Spring,175,,35.0,0.2
998,Examination: Final Examination,2 hour End of Trimester Exam,No,Standard conversion grade scale 40%,No,73,Examination,MEEN20040,73,In person,2,5.0,Mechanical & Materials Eng,Dr Neal Murphy,Spring,175,,638.75,3.65
999,Assignment: Assignment 2 - bending of beams,Week 11,,Graded,No,6,Assignment,MEEN20040,6,At home,2,5.0,Mechanical & Materials Eng,Dr Neal Murphy,Spring,175,,52.5,0.3
1000,Attendance: Tutorial 2,Varies over the Trimester,,Graded,No,1,Attendance,MEEN20040,1,In person,2,5.0,Mechanical & Materials Eng,Dr Neal Murphy,Spring,175,,8.75,0.05
1001,Class Test: Class Test 1,Varies over the Trimester,,Graded,No,1,Class Test,MEEN20040,1,In person,2,5.0,Mechanical & Materials Eng,Dr Neal Murphy,Spring,175,,8.75,0.05
1002,Assignment: Assignment 1 - Brightspace-based quiz,Week 5,,Graded,No,6,Assignment,MEEN20040,6,At home,2,5.0,Mechanical & Materials Eng,Dr Neal Murphy,Spring,175,,52.5,0.3
1003,Attendance: Tutorial 1,Varies over the Trimester,,Graded,No,1,Attendance,MEEN20040,1,In person,2,5.0,Mechanical & Materials Eng,Dr Neal Murphy,Spring,175,,8.75,0.05
1004,Class Test: Class Test 4,Varies over the Trimester,,Graded,No,1,Class Test,MEEN20040,1,In person,2,5.0,Mechanical & Materials Eng,Dr Neal Murphy,Spring,175,,8.75,0.05
1005,Attendance: Tutorial 3,Varies over the Trimester,,Graded,No,1,Attendance,MEEN20040,1,In person,2,5.0,Mechanical & Materials Eng,Dr Neal Murphy,Spring,175,,8.75,0.05
1006,Class Test: Class Test 2,Varies over the Trimester,,Graded,No,1,Class Test,MEEN20040,1,In person,2,5.0,Mechanical & Materials Eng,Dr Neal Murphy,Spring,175,,8.75,0.05
1007,Lab Report: Lab Report 2,Varies over the Trimester,,Graded,No,4,Lab Report,MEEN20040,4,Blended,2,5.0,Mechanical & Materials Eng,Dr Neal Murphy,Spring,175,,35.0,0.2
1008,Lab Report: Laboratory Activities,Varies over the Trimester,,Graded,No,20,Lab Report,MEEN20050,20,Blended,2,5.0,Mechanical & Materials Eng,Professor Donal Finn,Autumn,135,,135.0,1.0
1009,Continuous Assessment: Assessment 1:,Varies over the Trimester,,Alternative linear conversion grade scale 40%,No,10,Continuous Assessment,MEEN20050,10,At home,2,5.0,Mechanical & Materials Eng,Professor Donal Finn,Autumn,135,,67.5,0.5
1010,Continuous Assessment: Assessment 2:,Varies over the Trimester,,Alternative linear conversion grade scale 40%,No,10,Continuous Assessment,MEEN20050,10,At home,2,5.0,Mechanical & Materials Eng,Professor Donal Finn,Autumn,135,,67.5,0.5
1011,Examination: End of trimester examination,2 hour End of Trimester Exam,No,Alternative linear conversion grade scale 40%,No,60,Examination,MEEN20050,60,In person,2,5.0,Mechanical & Materials Eng,Professor Donal Finn,Autumn,135,,405.0,3.0
1012,"Portfolio: Set of Engineering Sketches, Drawings and Designs. Also in-class tests.",Varies over the Trimester,,Graded,Yes,100,Portfolio,MEEN20060,100,At home,2,5.0,Mechanical & Materials Eng,Dr Donal Holland,Spring,159,,795.0,5.0
1013,Examination: MCQ and short answer questions,2 hour End of Trimester Exam,No,Standard conversion grade scale 40%,No,70,Examination,MEEN20070,70,In person,2,5.0,Mechanical & Materials Eng,Dr Adam Boyce,Spring,159,,556.5,3.5
1014,Lab Report: Metallography of steels and brasses,Varies over the Trimester,,Graded,No,10,Lab Report,MEEN20070,10,Blended,2,5.0,Mechanical & Materials Eng,Dr Adam Boyce,Spring,159,,79.5,0.5
1015,Lab Report: Tesile testing,Varies over the Trimester,,Graded,No,10,Lab Report,MEEN20070,10,Blended,2,5.0,Mechanical & Materials Eng,Dr Adam Boyce,Spring,159,,79.5,0.5
1016,Lab Report: Heat treatment and impact testing,Varies over the Trimester,,Graded,No,10,Lab Report,MEEN20070,10,Blended,2,5.0,Mechanical & Materials Eng,Dr Adam Boyce,Spring,159,,79.5,0.5
1017,Lab Report: 3 lab reports,Throughout the Trimester,,Standard conversion grade scale 40%,No,20,Lab Report,MEEN30010,20,Blended,3,5.0,Mechanical & Materials Eng,Dr David McKeown,Spring,131,,131.0,1.0
1018,Examination: Two hours,2 hour End of Trimester Exam,No,Standard conversion grade scale 40%,No,60,Examination,MEEN30010,60,In person,3,5.0,Mechanical & Materials Eng,Dr David McKeown,Spring,131,,393.0,3.0
1019,Class Test: Class test,Week 8,,Standard conversion grade scale 40%,No,20,Class Test,MEEN30010,20,In person,3,5.0,Mechanical & Materials Eng,Dr David McKeown,Spring,131,,131.0,1.0
1020,Class Test: Class Test 2,Week 3,,Graded,No,1,Class Test,MEEN30020,1,In person,3,5.0,Mechanical & Materials Eng,Dr Neal Murphy,Spring,123,,6.15,0.05
1021,Class Test: Class Test 3,Week 4,,Graded,No,1,Class Test,MEEN30020,1,In person,3,5.0,Mechanical & Materials Eng,Dr Neal Murphy,Spring,123,,6.15,0.05
1022,Assignment: Brightspace-based quiz,Week 9,,Graded,No,6,Assignment,MEEN30020,6,At home,3,5.0,Mechanical & Materials Eng,Dr Neal Murphy,Spring,123,,36.9,0.3
1023,Class Test: Class Test 6,Week 7,,Graded,No,1,Class Test,MEEN30020,1,In person,3,5.0,Mechanical & Materials Eng,Dr Neal Murphy,Spring,123,,6.15,0.05
1024,Lab Report: Lab Report 2 - Laboratory experiment,Varies over the Trimester,,Graded,No,6,Lab Report,MEEN30020,6,Blended,3,5.0,Mechanical & Materials Eng,Dr Neal Murphy,Spring,123,,36.9,0.3
1025,Lab Report: Lab Report 1 - Finite Element Analysis,Throughout the Trimester,,Graded,No,6,Lab Report,MEEN30020,6,Blended,3,5.0,Mechanical & Materials Eng,Dr Neal Murphy,Spring,123,,36.9,0.3
1026,Assignment: Brightspace-based quiz,Week 5,,Graded,No,6,Assignment,MEEN30020,6,At home,3,5.0,Mechanical & Materials Eng,Dr Neal Murphy,Spring,123,,36.9,0.3
1027,Class Test: Class Test 1,Week 2,,Graded,No,1,Class Test,MEEN30020,1,In person,3,5.0,Mechanical & Materials Eng,Dr Neal Murphy,Spring,123,,6.15,0.05
1028,Class Test: Class Test 5,Week 6,,Graded,No,2,Class Test,MEEN30020,2,In person,3,5.0,Mechanical & Materials Eng,Dr Neal Murphy,Spring,123,,12.3,0.1
1029,Class Test: Class Test 7,Week 8,,Graded,No,1,Class Test,MEEN30020,1,In person,3,5.0,Mechanical & Materials Eng,Dr Neal Murphy,Spring,123,,6.15,0.05
1030,Class Test: Class Test 9,Week 10,,Graded,No,1,Class Test,MEEN30020,1,In person,3,5.0,Mechanical & Materials Eng,Dr Neal Murphy,Spring,123,,6.15,0.05
1031,Class Test: Class Test 11,Week 12,,Graded,No,1,Class Test,MEEN30020,1,In person,3,5.0,Mechanical & Materials Eng,Dr Neal Murphy,Spring,123,,6.15,0.05
1032,Class Test: Class Test 10,Week 11,,Graded,No,1,Class Test,MEEN30020,1,In person,3,5.0,Mechanical & Materials Eng,Dr Neal Murphy,Spring,123,,6.15,0.05
1033,Class Test: Class Test 4,Week 5,,Graded,No,1,Class Test,MEEN30020,1,In person,3,5.0,Mechanical & Materials Eng,Dr Neal Murphy,Spring,123,,6.15,0.05
1034,Class Test: Class Test 8,Week 9,,Graded,No,1,Class Test,MEEN30020,1,In person,3,5.0,Mechanical & Materials Eng,Dr Neal Murphy,Spring,123,,6.15,0.05
1035,Examination: Final Examination,2 hour End of Trimester Exam,No,Standard conversion grade scale 40%,No,64,Examination,MEEN30020,64,In person,3,5.0,Mechanical & Materials Eng,Dr Neal Murphy,Spring,123,,393.6,3.2
1036,Assignment: One essay type assignment per student,Week 6,,Graded,No,20,Assignment,MEEN30030,20,At home,3,5.0,Mechanical & Materials Eng,Assoc Professor Aisling Ní Annaidh,Autumn,137,,137.0,1.0
1037,"Group Project: One design, build and test project with individual and group assessment",Varies over the Trimester,,Graded,No,70,Group Project,MEEN30030,70,Blended,3,5.0,Mechanical & Materials Eng,Assoc Professor Aisling Ní Annaidh,Autumn,137,,479.5,3.5
1038,Assignment: Short CAD project,Week 3,,Graded,No,10,Assignment,MEEN30030,10,At home,3,5.0,Mechanical & Materials Eng,Assoc Professor Aisling Ní Annaidh,Autumn,137,,68.5,0.5
1039,Lab Report: Laboratory Activities,Varies over the Trimester,,Graded,No,20,Lab Report,MEEN30040,20,Blended,3,5.0,Mechanical & Materials Eng,Professor Donal Finn,Autumn,115,,115.0,1.0
1040,Examination: Module examination,2 hour End of Trimester Exam,No,Standard conversion grade scale 40%,No,60,Examination,MEEN30040,60,In person,3,5.0,Mechanical & Materials Eng,Professor Donal Finn,Autumn,115,,345.0,3.0
1041,Continuous Assessment: Continuous Assessment #2,Varies over the Trimester,,Standard conversion grade scale 40%,No,10,Continuous Assessment,MEEN30040,10,At home,3,5.0,Mechanical & Materials Eng,Professor Donal Finn,Autumn,115,,57.5,0.5
1042,Continuous Assessment: Continuous Assessment #1,Varies over the Trimester,,Standard conversion grade scale 40%,No,10,Continuous Assessment,MEEN30040,10,At home,3,5.0,Mechanical & Materials Eng,Professor Donal Finn,Autumn,115,,57.5,0.5
1043,Examination: End of semester exam,2 hour End of Trimester Exam,No,Standard conversion grade scale 40%,No,50,Examination,MEEN30090,50,In person,3,5.0,Mechanical & Materials Eng,Dr Mert Celikin,Autumn,148,,370.0,2.5
1044,Examination: Mid-semester exam,Week 6,No,Standard conversion grade scale 40%,No,20,Examination,MEEN30090,20,In person,3,5.0,Mechanical & Materials Eng,Dr Mert Celikin,Autumn,148,,148.0,1.0
1045,Lab Report: Lab reports,Varies over the Trimester,,Standard conversion grade scale 40%,No,30,Lab Report,MEEN30090,30,Blended,3,5.0,Mechanical & Materials Eng,Dr Mert Celikin,Autumn,148,,222.0,1.5
1046,"Examination: End-of-semester, in-person assessment (RDS)",2 hour End of Trimester Exam,No,Other,No,50,Examination,MEEN30100,50,In person,3,5.0,Mechanical & Materials Eng,Dr William Smith,Autumn,121,,302.5,2.5
1047,Lab Report: Marks based on 2 laboratory assignments,Varies over the Trimester,,Graded,No,20,Lab Report,MEEN30100,20,Blended,3,5.0,Mechanical & Materials Eng,Dr William Smith,Autumn,121,,121.0,1.0
1048,Continuous Assessment: Brightspace quiz,Week 3,,Other,No,10,Continuous Assessment,MEEN30100,10,At home,3,5.0,Mechanical & Materials Eng,Dr William Smith,Autumn,121,,60.5,0.5
1049,Continuous Assessment: Brightspace quiz,Week 7,,Other,No,20,Continuous Assessment,MEEN30100,20,At home,3,5.0,Mechanical & Materials Eng,Dr William Smith,Autumn,121,,121.0,1.0
1050,Assignment: Assignment (Mech),Varies over the Trimester,,Graded,No,10,Assignment,MEEN30130,10,At home,3,5.0,Mechanical & Materials Eng,Assoc Professor James O'Donnell,Spring,23,,11.5,0.5
1051,Class Test: Class Test (Elec),Week 9,,Alternative linear conversion grade scale 40%,No,10,Class Test,MEEN30130,10,In person,3,5.0,Mechanical & Materials Eng,Assoc Professor James O'Donnell,Spring,23,,11.5,0.5
1052,Assignment: Assignment (Elec),Varies over the Trimester,,Graded,No,10,Assignment,MEEN30130,10,At home,3,5.0,Mechanical & Materials Eng,Assoc Professor James O'Donnell,Spring,23,,11.5,0.5
1053,Examination: End of Module Examination,2 hour End of Trimester Exam,No,Standard conversion grade scale 40%,No,60,Examination,MEEN30130,60,In person,3,5.0,Mechanical & Materials Eng,Assoc Professor James O'Donnell,Spring,23,,69.0,3.0
1054,Class Test: Class Test (Mech),Week 7,,Standard conversion grade scale 40%,No,10,Class Test,MEEN30130,10,In person,3,5.0,Mechanical & Materials Eng,Assoc Professor James O'Donnell,Spring,23,,11.5,0.5
1055,Class Test: In-semester class test #2 (online quiz),Unspecified,,Standard conversion grade scale 40%,No,35,Class Test,MEEN30140,35,In person,3,5.0,Mechanical & Materials Eng,Dr Pezhman Ghadimi,Spring,223,,390.25,1.75
1056,Group Project: A group project assignment which will commence from week 7.,Varies over the Trimester,,Standard conversion grade scale 40%,No,30,Group Project,MEEN30140,30,Blended,3,5.0,Mechanical & Materials Eng,Dr Pezhman Ghadimi,Spring,223,,334.5,1.5
1057,Class Test: In-semester class test #1 (online quiz),Unspecified,,Standard conversion grade scale 40%,No,35,Class Test,MEEN30140,35,In person,3,5.0,Mechanical & Materials Eng,Dr Pezhman Ghadimi,Spring,223,,390.25,1.75
1058,Examination: End of semester Brightspace examination,2 hour End of Trimester Exam,No,Standard conversion grade scale 40%,No,70,Examination,MEEN30160,70,In person,3,5.0,Mechanical & Materials Eng,Dr Malachy O'Rourke,Spring,42,,147.0,3.5
1059,Lab Report: A computational experiment will be undertaken wherein each student will simulate using computational fluid dynamics the blood flow in an abdominal aortic aneurysm under steady and periodic flow.,Throughout the Trimester,,Graded,No,30,Lab Report,MEEN30160,30,Blended,3,5.0,Mechanical & Materials Eng,Dr Malachy O'Rourke,Spring,42,,63.0,1.5
1060,Assignment: Write an essay on the application of the engineering methodology,Week 4,,Graded,No,20,Assignment,MEEN30170,20,At home,3,5.0,Mechanical & Materials Eng,Dr Kevin Nolan,Autumn and Spring (separate),12,,12.0,1.0
1061,Assignment: Written and oral presentation of a scientific report in form of an Abstract and Poster Presentation,Throughout the Trimester,,Graded,No,40,Assignment,MEEN30170,40,At home,3,5.0,Mechanical & Materials Eng,Dr Kevin Nolan,Autumn and Spring (separate),12,,24.0,2.0
1062,Attendance: Students are required to spend six hours per week in the laboratory of their research group.,Throughout the Trimester,,Graded,No,5,Attendance,MEEN30170,5,In person,3,5.0,Mechanical & Materials Eng,Dr Kevin Nolan,Autumn and Spring (separate),12,,3.0,0.25
1063,Journal: Students will be required to keep a lab notebook detailing their laboratory based activities throughout the duration of the placement.,Throughout the Trimester,,Graded,No,10,Journal,MEEN30170,10,Blended,3,5.0,Mechanical & Materials Eng,Dr Kevin Nolan,Autumn and Spring (separate),12,,6.0,0.5
1064,"Continuous Assessment: Student performance: acquisition of skills, good engineering practice, data management and analysis",Throughout the Trimester,,Graded,No,20,Continuous Assessment,MEEN30170,20,At home,3,5.0,Mechanical & Materials Eng,Dr Kevin Nolan,Autumn and Spring (separate),12,,12.0,1.0
1065,"Journal: In addition to the Laboratory Journal, students will be required to keep a short Learning Journal detailing and reflecting upon their experiences, views and suggestions regarding working within a lab.",Throughout the Trimester,,Graded,No,5,Journal,MEEN30170,5,Blended,3,5.0,Mechanical & Materials Eng,Dr Kevin Nolan,Autumn and Spring (separate),12,,3.0,0.25
1066,Presentation: Oral Presentation (End of Trimester 1).,Week 12,,Graded,No,5,Presentation,MEEN30180,15,In person,3,15.0,Mechanical & Materials Eng,Professor Donal Finn,2 Trimester duration (Aut-Spr),15,,11.25,0.75
1067,Presentation: Oral Presentation (End of Trimester 2).,Week 12,,Graded,No,10,Presentation,MEEN30180,30,In person,3,15.0,Mechanical & Materials Eng,Professor Donal Finn,2 Trimester duration (Aut-Spr),15,,22.5,1.5
1068,Project: Final Project Report and Interview (End of Trimester 2).,Unspecified,,Graded,No,70,Project,MEEN30180,210,At home,3,15.0,Mechanical & Materials Eng,Professor Donal Finn,2 Trimester duration (Aut-Spr),15,,157.5,10.5
1069,Project: Interim Project Report (Beginning of Trimester 2).,Week 1,,Graded,No,15,Project,MEEN30180,45,At home,3,15.0,Mechanical & Materials Eng,Professor Donal Finn,2 Trimester duration (Aut-Spr),15,,33.75,2.25
1070,Essay: Essay on topic selected by student from a list of topics (approx 2000 words).,Week 3,,Graded,No,25,Essay,MEEN40010,25,At home,4,5.0,Mechanical & Materials Eng,Professor Donal Finn,Autumn,75,,93.75,1.25
1071,"Examination: Assessment of material presented by Lecturer #21-hour Invigilated Closed-book Assessment. Monday 14th, November 2022.",Week 10,No,Graded,No,25,Examination,MEEN40010,25,In person,4,5.0,Mechanical & Materials Eng,Professor Donal Finn,Autumn,75,,93.75,1.25
1072,"Examination: Assessment of material presented by Lecturer #11-hour Invigilated Closed-book Assessment. Monday 10th, October 2022.",Week 5,No,Graded,No,25,Examination,MEEN40010,25,In person,4,5.0,Mechanical & Materials Eng,Professor Donal Finn,Autumn,75,,93.75,1.25
1073,Examination: Assessment of material presented by Lecturer #31-hour invigilated Closed-book End of Trimester Examination,1 hour End of Trimester Exam,No,Graded,No,25,Examination,MEEN40010,25,In person,4,5.0,Mechanical & Materials Eng,Professor Donal Finn,Autumn,75,,93.75,1.25
1074,Class Test: Class Test,Week 6,,Graded,No,15,Class Test,MEEN40020,15,In person,4,5.0,Mechanical & Materials Eng,Dr Kevin Nolan,Autumn,58,,43.5,0.75
1075,Examination: Final Examination,2 hour End of Trimester Exam,No,Graded,No,70,Examination,MEEN40020,70,In person,4,5.0,Mechanical & Materials Eng,Dr Kevin Nolan,Autumn,58,,203.0,3.5
1076,Lab Report: Lab Report,Week 12,,Graded,No,15,Lab Report,MEEN40020,15,Blended,4,5.0,Mechanical & Materials Eng,Dr Kevin Nolan,Autumn,58,,43.5,0.75
1077,Group Project: Group Technical Report and Presentation,Coursework (End of Trimester),,Graded,No,30,Group Project,MEEN40030,30,Blended,4,5.0,Mechanical & Materials Eng,Professor Michael Gilchrist,Autumn,106,,159.0,1.5
1078,Examination: End of Semester examination,2 hour End of Trimester Exam,No,Graded,No,70,Examination,MEEN40030,70,In person,4,5.0,Mechanical & Materials Eng,Professor Michael Gilchrist,Autumn,106,,371.0,3.5
1079,Examination: Written exam. The default scale (Default 40%) is used.,2 hour End of Trimester Exam,Yes,Standard conversion grade scale 40%,No,70,Examination,MEEN40050,70,In person,4,5.0,Mechanical & Materials Eng,Professor Alojz Ivankovic,Autumn,72,,252.0,3.5
1080,Continuous Assessment: Online Tutorial 1 [5%]Online Tutorial 2 [5%]In-class test 1 [2.5%]Online Tutorial 3 [5%]In-class test 2 [2.5%]Online Tutorial 4 [5%]Online Tutorial 5 [5%],Varies over the Trimester,,Standard conversion grade scale 40%,No,30,Continuous Assessment,MEEN40050,30,At home,4,5.0,Mechanical & Materials Eng,Professor Alojz Ivankovic,Autumn,72,,108.0,1.5
1081,Lab Report: Lab report to be submitted via Brightspace.,Varies over the Trimester,,Graded,No,10,Lab Report,MEEN40060,10,Blended,4,5.0,Mechanical & Materials Eng,Dr Neal Murphy,Autumn,47,,23.5,0.5
1082,Assignment: Homework Assignment,Week 7,,Graded,No,15,Assignment,MEEN40060,15,At home,4,5.0,Mechanical & Materials Eng,Dr Neal Murphy,Autumn,47,,35.25,0.75
1083,Examination: Final Examination,2 hour End of Trimester Exam,No,Graded,No,65,Examination,MEEN40060,65,In person,4,5.0,Mechanical & Materials Eng,Dr Neal Murphy,Autumn,47,,152.75,3.25
1084,Lab Report: Lab report to be submitted via Brightspace: Failure Analysis Laboratory.,Varies over the Trimester,,Graded,No,10,Lab Report,MEEN40060,10,Blended,4,5.0,Mechanical & Materials Eng,Dr Neal Murphy,Autumn,47,,23.5,0.5
1085,"Assignment: Essay type research assignment. Students will have approximately 4 weeks to complete the assignment, beginning around mid-trimester.",Unspecified,,Graded,No,20,Assignment,MEEN40080,20,At home,4,5.0,Mechanical & Materials Eng,Dr Adam Boyce,Autumn,27,,27.0,1.0
1086,Examination: Final examination,2 hour End of Trimester Exam,No,Graded,No,60,Examination,MEEN40080,60,In person,4,5.0,Mechanical & Materials Eng,Dr Adam Boyce,Autumn,27,,81.0,3.0
1087,Lab Report: Two lab reports,Varies over the Trimester,,Graded,No,20,Lab Report,MEEN40080,20,Blended,4,5.0,Mechanical & Materials Eng,Dr Adam Boyce,Autumn,27,,27.0,1.0
1088,Assignment: Group assignment,Week 6,,Graded,No,25,Assignment,MEEN40090,25,At home,4,5.0,Mechanical & Materials Eng,Dr William Smith,Autumn,59,,73.75,1.25
1089,Class Test: Brightspace Quiz,Week 3,,Standard conversion grade scale 40%,No,10,Class Test,MEEN40090,10,In person,4,5.0,Mechanical & Materials Eng,Dr William Smith,Autumn,59,,29.5,0.5
1090,Examination: End-of-trimester exam,2 hour End of Trimester Exam,Yes,Standard conversion grade scale 40%,No,30,Examination,MEEN40090,30,In person,4,5.0,Mechanical & Materials Eng,Dr William Smith,Autumn,59,,88.5,1.5
1091,Assignment: Individual assignment,Week 10,,Graded,No,35,Assignment,MEEN40090,35,At home,4,5.0,Mechanical & Materials Eng,Dr William Smith,Autumn,59,,103.25,1.75
1092,Lab Report: Labwork,Varies over the Trimester,,Graded,No,15,Lab Report,MEEN40110,15,Blended,4,5.0,Mechanical & Materials Eng,Dr Nan Zhang,Spring,39,,29.25,0.75
1093,Examination: End of semester exam,2 hour End of Trimester Exam,No,Graded,Yes,60,Examination,MEEN40110,60,In person,4,5.0,Mechanical & Materials Eng,Dr Nan Zhang,Spring,39,,117.0,3.0
1094,Assignment: Report,Week 12,,Graded,Yes,25,Assignment,MEEN40110,25,At home,4,5.0,Mechanical & Materials Eng,Dr Nan Zhang,Spring,39,,48.75,1.25
1095,Project: Research Project,Throughout the Trimester,,Graded,No,100,Project,MEEN40140,600,At home,4,30.0,Mechanical & Materials Eng,Professor Donal Finn,Autumn&Spring&Summer(separate),0,,0.0,30.0
1096,Continuous Assessment: An individual project including a report and/or presentation,Throughout the Trimester,,Alternative linear conversion grade scale 40%,No,60,Continuous Assessment,MEEN40150,60,At home,4,5.0,Mechanical & Materials Eng,Assoc Professor Philip Cardiff,Autumn,57,,171.0,3.0
1097,Continuous Assessment: Continuous assessment lab assignments,Throughout the Trimester,,Alternative linear conversion grade scale 40%,No,20,Continuous Assessment,MEEN40150,20,At home,4,5.0,Mechanical & Materials Eng,Assoc Professor Philip Cardiff,Autumn,57,,57.0,1.0
1098,Continuous Assessment: Continuous assessment online quizzes,Throughout the Trimester,,Alternative linear conversion grade scale 40%,No,20,Continuous Assessment,MEEN40150,20,At home,4,5.0,Mechanical & Materials Eng,Assoc Professor Philip Cardiff,Autumn,57,,57.0,1.0
1099,Examination: Final Exam,2 hour End of Trimester Exam,No,Standard conversion grade scale 40%,No,60,Examination,MEEN40160,60,In person,4,5.0,Mechanical & Materials Eng,Professor David Browne,Autumn,21,,63.0,3.0
1100,"Assignment: Assignments will be based on use of computer programs to devise phase diagrams from thermodynamic data, and to develop insight into important parameters and how they vary with lab conditions.",Varies over the Trimester,,Graded,No,40,Assignment,MEEN40160,40,At home,4,5.0,Mechanical & Materials Eng,Professor David Browne,Autumn,21,,42.0,2.0
1101,Assignment: Brightspace Quiz 2,Week 7,,Graded,No,6,Assignment,MEEN40170,6,At home,4,5.0,Mechanical & Materials Eng,Dr Neal Murphy,Autumn,34,,10.2,0.3
1102,Assignment: Brightspace Quiz 3,Week 10,,Graded,No,6,Assignment,MEEN40170,6,At home,4,5.0,Mechanical & Materials Eng,Dr Neal Murphy,Autumn,34,,10.2,0.3
